FieldName,DataType
BEGINDATE2,DATS
PER_FIN,DATS
DZTERM,DATS
HIERARCHY_DUE_DATE,DATS
CONDVALIDFROM_BD05,DATS
ANNOUNC_DATE,DATS
GM_DATE_FROM,DATS
MOVE_DATE_TO,DATS
DV_START_DATE,DATS
ACCTASSOBJVALIDTO,DATS
WBS_SCD_FORECAST_FINISH_DATE,DATS
F26_N_BUDAT_SAP,DATS
BEG26,DATS
DATUM_EIN,DATS
CRDISDAT,DATS
BUDATDIS,DATS
CHEND,DATS
REPAY_EFFECTIVE_FROM,DATS
RECN2DAT,DATS
ACTIVFROM,DATS
ROUTING_DATE,DATS
NEW_ANBEG,DATS
FVDT2_BT,DATS
CTDATEACT,DATS
EVTDAT,DATS
NQBEG,DATS
PPMCA,DATS
LASTDAY2,DATS
WPDGAB,DATS
VERAB_BT,DATS
DET_BEGDA,DATS
ESRBUDAT,DATS
1033_BEGDA,DATS
DATE_FIRST_REGISTERED,DATS
UPDAT_A1,DATS
LASTRUN_DATE,DATS
DDISPO_MIN,DATS
CREADAT,DATS
CONFSTAMP,DATS
ENDDA_SE,DATS
FIRSTDUEDATE,DATS
A_ACCRUAL,DATS
OORESFROM_O,DATS
N3BG_USU10,DATS
OIU_SALE_DT_TO,DATS
N3BG_KDI1,DATS
HON_PRE_RSGNDT,DATS
DEGDATE_DG,DATS
RECNDSTKU,DATS
PRT_DATE,DATS
BEGDA_0056,DATS
ENDZR14,DATS
RESFROM_DATEFROM,DATS
PROMOTION_TO,DATS
SCHED_MILESTONE_DATE_FORECAST,DATS
D_CONDREADDATE,DATS
ENDDA_REQ,DATS
DTABR,DATS
D1_LIC2_VALFROM,DATS
BECAME_ORPHAN,DATS
SRV_BEGDATE,DATS
END_DATE_PL,DATS
JOB_STRTDATE,DATS
CFMDT,DATS
EXCEPT_VALFR,DATS
PRICEKEYDATE,DATS
RECONSTRUCTION_YEAR,DATS
CINDPDT,DATS
BDATE,DATS
CONSDT,DATS
ENDDAC,DATS
CDAT_ACT,DATS
G3_LIC2_VALFROM,DATS
DATV1,DATS
BANKAUSDAT,DATS
SIBEG,DATS
WANAUDIT,DATS
AGREEMENT_VALID_FROM,DATS
FIGLMX_DATE,DATS
FFILE,DATS
CR_EFF_DATE,DATS
ENTRY_ON,DATS
AC_EX_DATE4,DATS
EN203,DATS
5050_BEGDA,DATS
NEXT_SCHEDULE,DATS
LTZBW,DATS
F110_DATUM,DATS
HIGH_ENDDA,DATS
FECHAALTA,DATS
OCBEG06,DATS
STAT_START_DATE,DATS
EDATEDIR,DATS
DBISDAT,DATS
ABSSTOPANFO,DATS
EGOYF,DATS
AUSBEGDT,DATS
S_DVALUT,DATS
FINST,DATS
CREATEDON_FROM,DATS
CONSTRAINTDATE,DATS
J_1APODTTO,DATS
ADM_RECPT_X,DATS
EXPORTED_AT,DATS
ZZEEIND,DATS
DST1BEGDAL,DATS
NUMBERDATE,DATS
CONTRACT_EXPDT,DATS
T304_ORDDT,DATS
RSPOCREDAT,DATS
ACR_RATD,DATS
ATDTB_09,DATS
ERDAT_DEL,DATS
DFIM,DATS
DASUSOF,DATS
PYEDA,DATS
N3A_F12A37,DATS
DOI_START_DT,DATS
DAQDT,DATS
DATE_POSTNEW,DATS
ORGFAEDT,DATS
MPEDAT05,DATS
P2123,DATS
JPDAT,DATS
RRE_REF_DATE,DATS
FIMY_REC_DATE,DATS
LPLTRM,DATS
EXPIRY_DAT,DATS
RATEDETDAT,DATS
DVALFROM,DATS
PRE1_IEDD,DATS
BUFFDATE,DATS
LTDAY,DATS
ID2EXPIRYDATE,DATS
USEDTILL,DATS
EXTRACTION_DATE,DATS
KODAT,DATS
INSOLVENCY_PROCEEDINGS_DATE,DATS
PODAT_LK,DATS
SEFDT,DATS
EXDGUELBIS2,DATS
PORTFOLIO_DATE_I,DATS
AEDATPRJ,DATS
EXNDA,DATS
ARDER,DATS
